razon_social,establecimiento,producto
FRUTICULTORES EMPACADORES DE GENERAL ROCA S.A.C.I.A.E I.,DON PEDRO, PERA
FRUTICULTORES EMPACADORES DE GENERAL ROCA S.A.C.I.A.E I.,LA COSTANERA,MANZANA
FRUTICULTORES EMPACADORES DE GENERAL ROCA S.A.C.I.A.E I.,LA COSTANERA, PERA
GARCIA MARIA NELIDA,CHACRA 48, PERA
GARCIA MARIA NELIDA,PUENTE COLORADO,PERA
GARCIA MARIA NELIDA,PUENTE COLORADO, MANZANA
GARCIA MARIA NELIDA,PUENTE COLORADO, INCULTO
GARCIA MARIA NELIDA,LOS CIPRESES,PERA
GONZALEZ L. Y RIADIGOS E. S.H.,CHACRA ARROYO CLARO,FRAMBUESA
GONZALEZ L. Y RIADIGOS E. S.H.,CHACRA ARROYO CLARO, DESCANSO
GONZALEZ L. Y RIADIGOS E. S.H.,CHACRA ARROYO CLARO, ARANDANO
GONZALEZ L. Y RIADIGOS E. S.H.,CHACRA ARROYO CLARO, MONTE
GONZALEZ L. Y RIADIGOS E. S.H.,CHACRA ARROYO CLARO, CEREZA
GONZALEZ L. Y RIADIGOS E. S.H.,CHACRA ARROYO CLARO, CORINTO
GONZALEZ L. Y RIADIGOS E. S.H.,CHACRA ARROYO CLARO, CASSIS
GONZALEZ L. Y RIADIGOS E. S.H.,CHACRA ARROYO CLARO, GROSELLA
GONZALEZ L. Y RIADIGOS E. S.H.,CHACRA ARROYO CLARO, MEMBRILLO
"GREGORI, ROMULO LUIS",CHACRA Nº 197, PERA
HURACAN FRUIT S.R.L.,CHACRA 145E,MANZANA
INTERRUPCION S.A.,SECCION SEGUNDA, INCULTO
INTERRUPCION S.A.,SECCION SEGUNDA, DAMASCO
INTERRUPCION S.A.,SECCION SEGUNDA, CIRUELA
INTERRUPCION S.A.,SECCION SEGUNDA, AVELLANAS
INTERRUPCION S.A.,SECCION SEGUNDA, ALMENDRAS
INTERRUPCION S.A.,SECCION SEGUNDA, DURAZNO
INTERRUPCION S.A.,SECCION SEGUNDA, CEREZA
ISLAFRUT SRL,ISLAFRUT,MANZANA
ISLAFRUT SRL,ISLAFRUT, PERA
JAVIER LEGASPI,EL CAPRICHO,PERAS Y MANZANAS.
JAVIER LEGASPI,VILLA MANZANO,PERAS Y MANZANAS.
JOSE BARRESI S.A.,CHACRA 153 BIS,MANZANA
LA ANGOSTURA S.R.L.,LA ANGOSTURA,BORREGAS
LA ANGOSTURA S.R.L.,LA ANGOSTURA, OVEJAS
LA ANGOSTURA S.R.L.,LA ANGOSTURA, BORREGOS
LA ANGOSTURA S.R.L.,LA ANGOSTURA, CAPONES
LA CONQUISTA SRL,LA CONQUISTA, PERA
LA CONQUISTA SRL,LA CONQUISTA, NOGAL
LABARRIERE JEAN LOUIS,EL GALPON Y EL DESAGÜE,MANZANAS Y PERAS
LAGO VERDE SA,LAGO VERDE,MANZANA
LAGO VERDE SA,LAGO VERDE, PERA
LAGO VERDE SA,LAGO VERDE, CIRUELA
LAINO HERMANOS S.A.,CHACRA 168,MANZANA
LAINO HERMANOS S.A.,CHACRA 168, PERA
LAINO HERMANOS S.A.,CHACRA 169,MANZANA
LAINO HERMANOS S.A.,CHACRA 169, PERA
LAINO HERMANOS S.A.,LA CASONA,MANZANA
LOZANO S.R.L.,DON DANIEL,PERAS
LUISI ANTONIO,CHACRA N° 258,MANZANA
LUISI ANTONIO,CHACRA N° 258, PERA
LUISI ANTONIO,CHACRA N° 270,PERA
"LUSTIG, SCHOLZ, MANSO Y OTROS",LA VARELA,MANZANA
"LUSTIG, SCHOLZ, MANSO Y OTROS",LA VARELA, PERA
MAGA S.R.L.,CHACRA 83 LOTE 2,
"MARCAL PATAGONICA S.A,",CALDERON  CHINCHINALES,MANZANA
"MARCAL PATAGONICA S.A,",CALDERON  CHINCHINALES, PERA
"MARCAL PATAGONICA S.A,",CALDERON REGINA,MANZANA
"MARCAL PATAGONICA S.A,",CALDERON REGINA, PERA
"MARTIN, OSCAR ALFREDO",EL SAUCE, PERA
MORRIS GLYNDWR LEONARDO,MORRIS GLYNDWR LEONARDO,MANZANA
MORRIS GLYNDWR LEONARDO,MORRIS GLYNDWR LEONARDO, PERA
MOSCHINI ANDRES ALBERTO,AMPARITO,MANZANAS
"MROZEK, MARIANA PERLA",CHACRA ISLA 48,MANZANA
"MROZEK, MARIANA PERLA",CHACRA ISLA 48, PERA
"MUÑOZ, MARIA LUISA",MUÑOZ MARIA LUISA,MANZANA
"MUÑOZ, MARIA LUISA",MUÑOZ MARIA LUISA, PERA
NATURAL S.R.L,CROACIA, PERA
PAISSANIDIS S.A.C.I.A.,171,MANZANAS Y PERAS
PAKSERVI S.R.L.,MORYMAR,PERAS Y MANZANAS
"PARRA, ROBERTO",CHACRA 281,MANZANA
"PARRA, ROBERTO",CHACRA 281, PERA
"PARRA, ROBERTO",CHACRA Nº 269,MANZANA
"PARRA, ROBERTO",EDU II,MANZANA
"PARRA, ROBERTO",EDU II, PERA
PEREZ MAGDALENA Y DANIEL,CHACRA 132,MANZANA
PEREZ MAGDALENA Y DANIEL,CHACRA 132, PERA
QUANTUM S.R.L.,CHACRA A-366, NUEZ SECA PELADA
QUANTUM S.R.L.,CHACRA A-366, NUEZ SECA CON CASCARA
"RETAMAL FERNANDEZ, JOSE E.",LA CHILA,MANZANA
"RETAMAL FERNANDEZ, JOSE E.",LA CHILA, PERA
RIBEREÑA DE RIO NEGRO S.A.,LA RIBEREÑA (I Y II), PERA
ROSAUER JUAN ROBERTO LUIS,CONTRATO LAR/JUAN ROBERTO LUIS ROSAUER (EX COMODATO....),MANZANAS Y PERAS
SAN JOSE S.A.,SAN JOSE,MANZANAS Y PERAS
SANCHEZ JOSE LUIS,LOS PICANTES,PERA
SANCHEZ JOSE LUIS,LOS PICANTES, MANZANA
SANCHEZ JOSE LUIS,LOS PICANTES, CEREZA
"SANCHEZ, HUGO OSVALDO",CHACRA 229,MANZANA
"SANCHEZ, HUGO OSVALDO",CHACRA 229, PERA
"SANCHEZ, HUGO OSVALDO",LA MAGNOLIA, PERA
SARALEGUY SANDRO SERGIO,COSTA SUR,MANZANAS Y PERAS
SARALEGUY SANDRO SERGIO,SARA,MANZANAS Y PERAS
SCHOLZ MARIA CECILIA SCHOLZ BETTINA SH,VALLE 2,MANZANA
SCHOLZ MARIA CECILIA SCHOLZ BETTINA SH,VALLE 2, PERA
"URRUTIA, DARIO GABRIEL",6 DE OCTUBRE,MANZANA
"URRUTIA, DARIO GABRIEL",6 DE OCTUBRE, PERA
"URRUTIA, DARIO GABRIEL",CHACRA 197,MANZANZA
"URRUTIA, DARIO GABRIEL",CHACRA 197, PERA
"URRUTIA, DARIO GABRIEL",CHACRA 197, DURAZNO
"URRUTIA, DARIO GABRIEL",CHACRA 197, CIRUELA
VALTIERRA S.A.,DON GILBERTO,PERAS
VILLARRAZA HORACIO,CHACRA N° 270,MANZANA
VILLARRAZA HORACIO,CHACRA N° 270, PERA
VILLARRAZA HORACIO,CHACRA N° 304,MANZANA
VIZZOTTO RICARDO,VIZZOTTO RICARDO,MANZANA
VIZZOTTO RICARDO,VIZZOTTO RICARDO, PERA
"VIZZOTTO, ALBERTO",VIZZOTTO ALBERTO, PERA
AGUARA SA.,LAS MARAVILLAS,CHIA (SALVIA HISPANICA L)
AGUARA SA.,LAS MARAVILLAS, SOJA
AGUARA SA.,LAS MARAVILLAS, POROTO
ALQUIMIA ARGENTINA SH,LA ARMONIA,CEREALES
ALTURA MAXIMA S.A.,RIO BLANCO,AROMATICAS
ALTURA MAXIMA S.A.,RIO BLANCO, PASTOS NATURALES E IMPLANTADOS
ALVAREZ EDUARDO MARTIN,ESTANCIA PELICANO, CHIA (SALVIA HISPANICA L)
CASTILLO ALFREDO A.,LA ESCONDIDA DEL ALGARROBAL,DESCANSO
CASTILLO ALFREDO A.,LA ESCONDIDA DEL ALGARROBAL, CAÑA DE AZUCAR
"COOPERATIVA DE PROVISION DE SERVICIOS PARA PRODUCTORES RURALES ""LA ESCONDIDA LTDA"".",FINCA IBAÑEZ,CHIA (SALVIA HISPANICA L.)
DARIO F.  ARIAS S.A.,EL BORDO DE LAS LANZAS, CHIA (SALVIA HISPANICA L)
DARIO F.  ARIAS S.A.,EL BORDO DE LAS LANZAS, SESAMO
DARIO F.  ARIAS S.A.,EL BORDO DE LAS LANZAS, SORGO
ECO AGROPECUARIA SA,SANTA MAGDALENA II,SESAMO
EMAISA S.A.,FINCA SAN CARLOS, INCULTO
EMAISA S.A.,FINCA SANTA ROSA,CAÑA DE AZUCAR
HAROIAN NELSON EDGARDO,EL ZAPALLAR DE HAROIAN,CAÑA DE AZUCAR
HAROIAN NELSON EDGARDO,EL ZAPALLAR DE HAROIAN, INCULTO
HESS FAMILY LATIN AMERICA S.A.,FINCA EL ARENAL,CAMPO INCULTO
IMPORTADORA DEL CARMEN S.A.,EL TRAMPEADERO,INCULTO
IMPORTADORA DEL CARMEN S.A.,FINCA SANTA MARIA,CHIA (SALVIA HISPANICA L.)
PALMIRA S.A.,FINCA CALVIMONTE,ALFALFA
SANZ NAVAMUEL SEBASTIAN,FINCA TORZALITO,POROTO NEGRO
SOCA S.R.L.,FINCA EL ZAPALLAR,CAÑA DE AZUCAR
SOCA S.R.L.,FINCA EL ZAPALLAR, MONTE
STUTZ RICARDO OSVALDO,LA CHIMPEÑA,VID
TREVISAN AGROPECUARIA SRL,SAN JOSE DE ORQUERA,MAIZ
"ACOSTA, ALEJANDRO DANIEL",FINCA CAMPANARIO,ZAPALLO
ALVIPA SRL,DOÑA MARIA,VID
ALVIPA SRL,LOS ALBERTOS,VID
BIO AGRICULTORES S.A.,ESTANCIA EL LEONCITO,AJO
CASSAB AHUN S.R.L,FINCA LA PLATA,UVA DE MESA
CASSAB AHUN S.R.L,FINCA LA PLATA, INCULTO
CASSAB AHUN S.R.L,FINCA LA PLATA, PASAS DE UVA
CASSAB AHUN S.R.L,FINCA DON ABRAHAM,UVA DE MESA
DE MI CAMPO S.A.,FINCA EL ENCUENTRO,MOSTAZA
DE MI CAMPO S.A.,FINCA EL ENCUENTRO, MEMBRILLO
DE MI CAMPO S.A.,FINCA EL ENCUENTRO, MENTA
DE MI CAMPO S.A.,FINCA EL ENCUENTRO, MELISA
DE MI CAMPO S.A.,FINCA EL ENCUENTRO, CIBOULETTE
DE MI CAMPO S.A.,FINCA EL ENCUENTRO, CEDRON
DE MI CAMPO S.A.,FINCA EL ENCUENTRO, ROMERO
DE MI CAMPO S.A.,FINCA EL ENCUENTRO, AZAFRAN
DE MI CAMPO S.A.,FINCA EL ENCUENTRO, OREGANO
DE MI CAMPO S.A.,FINCA EL ENCUENTRO, LAVANDA
DE MI CAMPO S.A.,FINCA EL ENCUENTRO, MATICO
DE MI CAMPO S.A.,FINCA EL ENCUENTRO, MONTE
DON DANIEL DE  ABELARDO E. LEIVA Y GRACIELA S. CANTO,25 DE MAYO, OLIVOS
DON DANIEL DE  ABELARDO E. LEIVA Y GRACIELA S. CANTO,DON DANIEL,VID
FABRIL ALTO VERDE S.A.,"FINCA ""LA URPILA""",VID
"GARCIA, ANTONIO",FINCA ANTONIO GARCIA,AJO
GOMEZ PEDRO VICENTE,GRANJA TIA NORA,UVA
GOMEZ PEDRO VICENTE,GRANJA TIA NORA, ACEITUNAS
GOMEZ PEDRO VICENTE,GRANJA TIA NORA, MANZANA
GOMEZ PEDRO VICENTE,GRANJA TIA NORA, PERA
GOMEZ PEDRO VICENTE,GRANJA TIA NORA, NUEZ
GOMEZ PEDRO VICENTE,GRANJA TIA NORA, DAMASCO
GOMEZ PEDRO VICENTE,GRANJA TIA NORA, POMELO
GOMEZ PEDRO VICENTE,GRANJA TIA NORA, LIMON
GOMEZ PEDRO VICENTE,GRANJA TIA NORA, NARANJA
GOMEZ PEDRO VICENTE,GRANJA TIA NORA, LIMA
GOMEZ PEDRO VICENTE,GRANJA TIA NORA, CEREZA
GOMEZ PEDRO VICENTE,GRANJA TIA NORA, AVELLANAS
GOMEZ PEDRO VICENTE,GRANJA TIA NORA, BROCOLI
GOMEZ PEDRO VICENTE,GRANJA TIA NORA, ESPINACA
GOMEZ PEDRO VICENTE,GRANJA TIA NORA, LECHUGA
GOMEZ PEDRO VICENTE,GRANJA TIA NORA, REMOLACHA
GOMEZ PEDRO VICENTE,GRANJA TIA NORA, MONTE
GRUPO PEÑAFLOR SA,LA PORTEÑA,VID
ICEBERG AGRICOLA S.A.,CULTIVOS ANDINOS,ZAPALLO
ICEBERG AGRICOLA S.A.,SANTOS ROBERTO,ESPARRAGOS
ICEBERG AGRICOLA S.A.,SANTOS ROBERTO, REPOLLO
ICEBERG AGRICOLA S.A.,LENCINAS RAUL, BROCOLI
ICEBERG AGRICOLA S.A.,LENCINAS RAUL, REPOLLO
ICEBERG AGRICOLA S.A.,GIOJA JUAN CARLOS,ESPARRAGOS
"LEIVA FERRER, ANTONIO ESTEBAN",LA PUNTILLA,VID
"MAS, MIGUEL (HUERTA ANAHATA)",HUERTA ORGANICA ANAHATA,VID
"MAS, MIGUEL (HUERTA ANAHATA)",HUERTA ORGANICA ANAHATA, DURAZNO
"MAS, MIGUEL (HUERTA ANAHATA)",HUERTA ORGANICA ANAHATA, TOMATE PERITA
VONO SA,FINCA 9 DE JULIO,VID
FLORIN RAIMUNDO CARLOS,PIEDRA DEL AGUA, TERNERAS
HEGUILOR GUILLERMO JULIO,AGUACLARA,OREGANO
HEGUILOR GUILLERMO JULIO,AGUACLARA, TOMILLO
HEGUILOR GUILLERMO JULIO,AGUACLARA, ROMERO
HEGUILOR GUILLERMO JULIO,AGUACLARA, LAVANDA
HEGUILOR GUILLERMO JULIO,AGUACLARA, MENTA
HEGUILOR GUILLERMO JULIO,AGUACLARA, MAIZ
HEGUILOR GUILLERMO JULIO,AGUACLARA, ZAPALLO ANCO
JEWTUSZYK MIRTHA EDITH,BAUERHAUS, FRAMBUESA
JEWTUSZYK MIRTHA EDITH,BAUERHAUS, MONTE
JEWTUSZYK MIRTHA EDITH,BAUERHAUS, CEBOLLA
JEWTUSZYK MIRTHA EDITH,BAUERHAUS, INCULTO
CIMADEVILLA ALEJANDRO,EL MOSCOSO,LANA SUCIA
CIMADEVILLA ALEJANDRO,EL MOSCOSO, OVEJAS
CIMADEVILLA ALEJANDRO,EL MOSCOSO, BORREGAS
CIMADEVILLA ALEJANDRO,EL MOSCOSO, CAPONES
CIMADEVILLA ALEJANDRO,EL MOSCOSO, CARNEROS
COMPAÑIA DE TIERRAS SUD ARGENTINO SA,ESTANCIA CORONEL,GANADERIA BOVINA
COMPAÑIA DE TIERRAS SUD ARGENTINO SA,ESTANCIA CORONEL, GANADERIA OVINA (CARNE Y LANA)
ESTANCIA KILLIK AIKE NORTE S.A.,ESTANCIA KILLIK AIKE NORTE,GANADERIA OVINA (CARNE Y LANA)
ESTANCIAS SARA BRAUN S.A.,SOFIA - BELLA VISTA- SAN ANTONIO, VACAS
ESTANCIAS SARA BRAUN S.A.,SOFIA - BELLA VISTA- SAN ANTONIO, TERNEROS
FUHRMANN S.A,SARAI, BORREGOS
FUHRMANN S.A,SARAI, CARNEROS
GORDON MARY ANN MARGARET,GORDON,LANA SUCIA
GORDON MARY ANN MARGARET,GORDON, OVEJAS
GORDON MARY ANN MARGARET,GORDON, CARNEROS
GORDON MARY ANN MARGARET,GORDON, BORREGOS
GORDON MARY ANN MARGARET,GORDON, BORREGAS
GORDON MARY ANN MARGARET,GORDON, CAPONES
IONA S.R.L.,CERRO CUADRADO, LANA SUCIA
IONA S.R.L.,CERRO CUADRADO, BORREGOS
IONA S.R.L.,CERRO CUADRADO, BORREGAS
IONA S.R.L.,CERRO CUADRADO, CARNEROS
RIBAYA EDUARDO SANTIAGO,EL TRIUNFO - SECCION JUANITA,LANA SUCIA
RIBAYA EDUARDO SANTIAGO,EL TRIUNFO - SECCION JUANITA, OVEJAS
RIBAYA EDUARDO SANTIAGO,EL TRIUNFO - SECCION JUANITA, BORREGAS
RIBAYA EDUARDO SANTIAGO,EL TRIUNFO - SECCION JUANITA, CARNEROS
RIBAYA EDUARDO SANTIAGO,LA BUENOS AIRES - SEC. LOS ALAMOS Y DOS HNOS., LANA SUCIA
RIBAYA EDUARDO SANTIAGO,LA BUENOS AIRES - SEC. LOS ALAMOS Y DOS HNOS., BORREGOS
RIBAYA EDUARDO SANTIAGO,LA BUENOS AIRES - SEC. LOS ALAMOS Y DOS HNOS., CARNEROS
RIBAYA EDUARDO SANTIAGO,LA BUENOS AIRES - SEC. LOS ALAMOS Y DOS HNOS., CAPONES
TIRACHINI ALEJANDRO HECTOR,LA CHAIRA-LA JUANITA-LA PORTEÑA,OVEJAS
TIRACHINI ALEJANDRO HECTOR,LA CHAIRA-LA JUANITA-LA PORTEÑA, CARNEROS
KUMAGRO S.A.,LA CATALINA,TRIGO
LA NUEVA FLORIDA S.A.,EL DORADO,BOVINOS
LA NUEVA FLORIDA S.A.,LA NUEVA FLORIDA,BOVINOS
MARIA GABRIELA NARDONI,PENASH,MIEL Y SUBPRODUCTOS DE LA COLMENA
PEREZ RAUL ARIEL,"LA RINCONADA, LOS CISNEROS, LA UNION",MIEL + EXTRACCION Y FRACCIONAMIENTO DE MIEL
RODRIGO JAVIER SANDRIGO,ISLA MANOLO,MIEL
SOYAPAMPA / MISKA SA,LA VIGILANCIA,CEREALES Y OLEAGINOSAS.
AGRO PROFESIONAL SA,SOL DE JULIO,CEREALES
AGRO PROFESIONAL SA,SOL DE JULIO, OLEAGINOSAS Y LEGUMINOSAS
COOPSOL COOP. DE TRABAJO LTDA.,COOPSOL LORETO - PRODUCTOR,MIEL Y SUBPRODUCTOS DE LA COLMENA
JOSE ALBERTO ROTULO Y COOPSOL LTDA.,APIARIO AR,MIEL Y SUBPRODUCTOS DE LA COLMENA
JULIO ANSELMO TORRES Y COOPSOL LTDA,APIARIO CK,MIEL Y SUBPRODUCTOS DE LA COLMENA
MUNICIPALIDAD DE LAS TERMAS DE RIO HONDO,UNIDAD DEMOSTRATIVA DE HORTALIZAS ORGANICAS DE LAS TERMAS DE RIO HONDO,HORTALIZAS DE HOJAS
MUNICIPALIDAD DE LAS TERMAS DE RIO HONDO,UNIDAD DEMOSTRATIVA DE HORTALIZAS ORGANICAS DE LAS TERMAS DE RIO HONDO, FRUTOS Y AROMATICAS
TORRES CLAUDIO F. Y COOPSOL LTDA.,APIARIO BN,MIEL Y SUBPRODUCTOS DE LA COLMENA
AMANKAY S.R.L.,FINCA LAURELES,INCULTO
AMANKAY S.R.L.,FINCA LAURELES, ARANDANO
CITROMAX SACI,LAS LANZAS,ARANDANO
CITROMAX SACI,LAS LANZAS, FRAMBUESA
ECOBERRIES S.A.,FINCA CLAUDIA,ARANDANO
ECOBERRIES S.A.,FINCA CLAUDIA, MORA
EL MADERO S.R.L.,EL MADERO, INCULTO
FINCAZUL S.A.,FINCA DON D,ARANDANO
FINCAZUL S.A.,FINCA DON D, INCULTO
GARCIA DANIEL SEBASTIAN,ORGANICOS DEL SUR, POROTO NEGRO
GARCIA DANIEL SEBASTIAN,ORGANICOS DEL SUR, GARBANZO
GEBAL S.A.,EL NOGAL,LIMON
GREEN PACK S.A.,FINCA GREEN PACK,ARANDANO
INVERSIONES MARAPA SRL,FINCA LOS BICHITOS,INCULTO
KINGBERRY S.A.,FINCA COCHAMOLLES, FRUTILLA
LA QUIMERA S.A.,"LA QUIMERA, COLONIA 6",CHIA (SALVIA HISPANICA L.)
MULTIFRUT S.R.L.,FINCA ZAPULLA,CHIA (SALVIA HISPANICA L)
MULTIFRUT S.R.L.,FINCA ZAPULLA, FRUTILLA
SIGSTAD JUAN,FINCA LOS PIZARROS Y FINCA SAN IGNACIO, LIMON
SIGSTAD JUAN,FINCA LOS PIZARROS Y FINCA SAN IGNACIO, NARANJA
SIGSTAD JUAN,FINCA LOS PIZARROS Y FINCA SAN IGNACIO, MANDARINA
TIERRA DE BERRIES S.A.,TIERRA DE BERRIES,ARANDANO
TIERRA DE BERRIES S.A.,TIERRA DE BERRIES, INCULTO
ESTANCIA MARIA BEHETY S.A.,MARIA BEHETY,VACAS
ESTANCIAS SARA BRAUN S.A.,ESTANCIA SARA, TERNEROS
ESTANCIAS SARA BRAUN S.A.,ESTANCIA SARA, TERNERAS
ESTANCIAS SARA BRAUN S.A.,ESTANCIA SARA, VAQUILLONAS
ESTANCIAS SARA BRAUN S.A.,ESTANCIA SARA, TOROS
LA JUCIELA S.A.,ESTANCIA SAN JULIO,VACAS
LA JUCIELA S.A.,ESTANCIA SAN JULIO, TOROS
LA JUCIELA S.A.,ESTANCIA SAN JULIO, TERNEROS
LA JUCIELA S.A.,ESTANCIA SAN JULIO, VAQUILLONAS
LABORATORIOS FERRINI S.A.I.C.I.,LABORATORIOS FERRINI S.A.I.C.I.,EMULSION CORPORAL SUAVIZANTE
LABORATORIOS FERRINI S.A.I.C.I.,LABORATORIOS FERRINI S.A.I.C.I., EMULSION CORPORAL NUTRITIVA
LABORATORIOS FERRINI S.A.I.C.I.,LABORATORIOS FERRINI S.A.I.C.I., EMULSION CORPORAL ANTIAGE
LABORATORIOS FERRINI S.A.I.C.I.,LABORATORIOS FERRINI S.A.I.C.I., CREMA FACIAL DIURNA
LABORATORIOS FERRINI S.A.I.C.I.,LABORATORIOS FERRINI S.A.I.C.I., SERUM CONTORNO DE LABIOS
LABORATORIOS FERRINI S.A.I.C.I.,LABORATORIOS FERRINI S.A.I.C.I., TONICO FACIAL
NUTRIBABY S.A.,NUTRIBABY S.A.,PAPILLA PARA BEBE
ALVAREZ ANA MARIA,ALVAREZ ANA MARIA,NUEZ PECAN
BIO GRAINS SA,BIO GRAINS SA, ACEITE DE COLZA
BIO GRAINS SA,BIO GRAINS SA, EXPELLER DE COLZA Y HARINA DE COLZA
BIO GRAINS SA,BIO GRAINS SA,SOJA
BIO GRAINS SA,BIO GRAINS SA, HARINA SOJA
BIO GRAINS SA,BIO GRAINS SA, HARINA GIRASOL
BIO GRAINS SA,BIO GRAINS SA, ACEITE DE GIRASOL
BIO GRAINS SA,BIO GRAINS SA, HARINA DE COLZA
BIO GRAINS SA,BIO GRAINS SA, GARBANZO
BIO GRAINS SA,BIO GRAINS SA, MAIZ
BIO GRAINS SA,BIO GRAINS SA, TRIGO
BIO GRAINS SA,BIO GRAINS SA, CARTAMO
BIO GRAINS SA,BIO GRAINS SA, HARINA DE SOJA
BIO GRAINS SA,BIO GRAINS SA, HARINA DE GIRASOL 
BIO GRAINS SA,BIO GRAINS SA, AVENA
BIO GRAINS SA,BIO GRAINS SA, SORGO
BIO GRAINS SA,BIO GRAINS SA, CEBADA
BIOCARDALES S.A.,BIOCARDALES S.A.,CEREALES Y OLEAGINOSAS
BIOMAC S.R.L.,BIOMAC S.R.L.,FRUTAS
BIOMAC S.R.L.,BIOMAC S.R.L., FRUTAS IQF
DIETETICA CIENTIFICA S.A.C.I.F.I.,DIETETICA CIENTIFICA S.A.C.I.F.I.,AZUCAR DE CAÑA
EL TALADRILLO SRL,EL TALADRILLO SRL,TRIGO
"ETCHEBEST, PEDRO GASTON","ETCHEBEST, PEDRO GASTON",KIWIS
FECHSER RICARDO MAXIMO,FECHSER RICARDO MAXIMO,LINO
FECHSER RICARDO MAXIMO,FECHSER RICARDO MAXIMO, ARROZ
FECHSER RICARDO MAXIMO,FECHSER RICARDO MAXIMO, GIRASOL
GARRIDO STELLA MARIS,GARRIDO STELLA MARIS,QUESO
GRUPO ADN S.A.,GRUPO ADN S.A.,ALIMENTO BALANCEADO
HIGH DOOR S.A.,HIGH DOOR S.A.,FRUTAS Y HORTALIZAS FRESCAS
KUMAGRO S.A.,KUMAGRO S.A., GIRASOL
KUMAGRO S.A.,KUMAGRO S.A., TRIGO
LA ESQUINA DE LAS FLORES SRL,LA ESQUINA DE LAS FLORES SRL, ACEITE DE OLIVA
LA ESQUINA DE LAS FLORES SRL,LA ESQUINA DE LAS FLORES SRL, FUERTE
LA ESQUINA DE LAS FLORES SRL,LA ESQUINA DE LAS FLORES SRL, SIN PALO
LA ESQUINA DE LAS FLORES SRL,LA ESQUINA DE LAS FLORES SRL, CON PALO)
LA ESQUINA DE LAS FLORES SRL,LA ESQUINA DE LAS FLORES SRL, HARINA DE SOJA
LA ESQUINA DE LAS FLORES SRL,LA ESQUINA DE LAS FLORES SRL, POROTO DE SOJA
LA ESQUINA DE LAS FLORES SRL,LA ESQUINA DE LAS FLORES SRL, SEMILLAS DE LINO
LA ESQUINA DE LAS FLORES SRL,LA ESQUINA DE LAS FLORES SRL, TRIGO PAN
LA ESQUINA DE LAS FLORES SRL,LA ESQUINA DE LAS FLORES SRL, HARINA DE MAIZ
BORCHARDT FRANCISCO,ORGANIC ORCHARD, MANDARINA
HUENU CRESTA Y MUTICIA CRESTA SH,CANDELA,GANADERIA BOVINA
LUIS A. DUCRET Y CIA. S.A.,EL RADAR,CEREALES Y OLEAGINOSAS
"MAZAIRA, GUILLERMO A.",CHACRA G Y K, CENTENO
MOA INTERNACIONAL A.C. DE FILOSOFIA Y CULTURA,ZUISENKIO DERQUI, PUERRO
RIVARA S.A.,LA LUISA,SOJA
ROLAND MOHLE/CORINA KEYMER DE MOHLE,ROCO,RADICHETA
SASAKI NOOSAN SRL,SASAKI NOOSAN SRL, ARROZ
TENAX S.A.,FINCA DON PEDRO,MORA
LA BUENA VIDA S.R.L.,RIO SINGUIL,MAIZ
OLIVARES DE POMAN SA,COMPLEJO OLIVICOLA SAN JOSE,OLIVOS
OLIVAS AL MUNDO S.A.,OLIVAS AL MUNDO (CAMPO), PASTO LIMON
CONOSUR FOODS ARGENTINA SRL,ROBLEDO,GARBANZO
CONOSUR FOODS ARGENTINA SRL,ROBLEDO, GIRASOL
DE ZARATE MARCOS SEBASTIAN,MARCOS DE ZARATE, CIRUELAS
FOUNDATION RACHEL Y PAMELA SCHIELE,LAS DOS HERMANAS,TRIGO
FRANCO BATAN Y ROSA SIGISMUNDI S.H.,BIO HONEY,MIEL Y SUBPRODUCTOS DE LA COLMENA
OLIVARES Y VIÑEDOS SAN NICOLAS S.A.,OLIVARES Y VIÑEDOS SAN NICOLAS, PIMIENTO
RAFAGOS SA,LAS PALOMAS,GARBANZO
ECA  SA,LA VICTORINA, NARANJA
GONCALVEZ ARTURO ELIAS,ESTANCIA SANTA ANA,INCULTO
GUIDOBONO JOSE MARIA,CAMPO AFUERA,ARROZ
BIO AGRICULTORES S.A.,CAMPO CHACO, INCULTO
GONZALEZ ROQUE O. Y COOPSOL LTDA.,APIARIO BF,MIEL Y SUBPRODUCTOS DE LA COLMENA
LA VICTORIA SRL,LA MANDARINA,ARROZ
RIMONDINO ENRIQUE,MIEL DE MONTE, COLMENAS
ANTONELLA TORRACA Y OTROS S.H.,SAN JOSE, BORREGOS
BARDAS BLANCAS S.A.,DON JOSE,LANA SUCIA
COMINAGRO GANADERA S.A.,MALLIN NEVADO-LOS RURALES-RANCHO GDE.-LA BLANCA, BORREGOS
CUYEN SRL,CHACRA MICUCCI,CASSIS
EL REZONGO SH,RAGOBET (ANIMAL), CORDEROS
FUHRMANN S.A,SOFIA, BORREGOS
FUHRMANN S.A,LA SUSANA, LANA SUCIA
FUHRMANN S.A,LA SUSANA, BORREGAS
GARCIA SALVADOR O.,SAN GENARO, CAPONES
GUENGUEL S.R.L.,EL RELINCHO - LINDO PARAJE - EL PICADERO,GUANACOS
JUAN CARLOS PAGASARTUNDUA Y J.N.P SH,LA SALINA - SIERRA FRIA Y LA PELIGROSA,VACAS
JUAN MAZQUIARAN E HILDA VERDE SH,CAÑADON TACHO, CARNEROS
LA ALTURA SH,LA ALTURA, CAPONES
MAMINA SRL,ESTABLECIMIENTO MAMINA, BOYSENBERRY
