razon_social,establecimiento,id_depto,nombre_rubro
SOYAPAMPA SA,LA PICASA,46007,AGRICULTURA
SOYAPAMPA SA,EL CARDALITO,66154,AGRICULTURA
SOYAPAMPA SA,BUENA ESPERANZA,66154,AGRICULTURA
TANDIL VACARA SRL,SAN MIGUEL,66154,GANADERIA
TENAX S.A.,FINCA DON PEDRO,50105,FRUTICULTURA/HORTICULTURA
TESTONI VICTOR,ARCOS DEL INTI - PRODUCTOR,50056,HORTICULTURA
"VEXENAT PABLO C., FONTENLA DIEGO A.(AGROINDECO SRL) Y GIACHETTI WALTER",PURO CAMPO,50126,AGRICULTURA
VIRTUD SA,EL CICLON LOTE 1,50042,AGRICULTURA
BUSTAMANTE LUIS,FINCAS DON ROGELIO,18112,FRUTICULTURA/HORTICULTURA
FRUTOS DEL NORTE SA,FRUTOS DEL NORTE S.A.,86154,FRUTICULTURA
LA BUENA VIDA S.R.L.,RIO SINGUIL,66154,AGRICULTURA
LA BUENA VIDA S.R.L.,DON MIGUEL,50105,AGRICULTURA
LA LUNA DE CATAMARCA SA,GRUPO AO,50126,FRUTICULTURA
LA OVEJERIA CONSTRUCCIONES S.R.L.,EL BAÑADO,66154,AGRICULTURA
OLIVARES DE POMAN SA,COMPLEJO OLIVICOLA SAN JOSE,86154,FRUTICULTURA
OLIVAS AL MUNDO S.A.,OLIVAS AL MUNDO (CAMPO),86154,AGRICULTURA
AGRO PROFESIONAL SA,LOSITA,50105,AGRICULTURA
CONOSUR FOODS ARGENTINA SRL,ROBLEDO,50126,AGRICULTURA
DE ZARATE MARCOS SEBASTIAN,MARCOS DE ZARATE,50126,HORTICULTURA
FOUNDATION RACHEL Y PAMELA SCHIELE,LAS DOS HERMANAS,50105,AGRICULTURA/GANADERIA
FRANCO BATAN Y ROSA SIGISMUNDI S.H.,BIO HONEY,66154,APICULTURA
HUANQUI S.A.,ALTOS VERDES,50105,AGRICULTURA
LA MECO S.R.L,LA PASCUALINA,50021,FRUTICULTURA/HORTICULTURA
MARIA ELVIRA SAGASTI,ARCA DEL SOL,50105,AGICULTURA/HORTICULTURA
OLIVARES Y VIÑEDOS SAN NICOLAS S.A.,OLIVARES Y VIÑEDOS SAN NICOLAS,50112,FRUTICULTURA/HORTICULTURA
POSTEL SA,LAS GAVIOTAS,50042,GANADERIA
PRONUT SRL,LA MORA,50112,AGRICULTURA
RAFAGOS SA,LAS PALOMAS,50112,AGRICULTURA
SARDI JOSE LUIS,COLMENARES ELCANO,50112,APICULTURA
WELEDA S.A.,WELEDA,50112,HORTICULTURA
ECA  SA,LA VICTORINA,50021,FRUTICULTURA
FEYEN ROBERTO,MARIA ANGELICA,86154,FRUTICULTURA/HORTICULTURA
GONCALVEZ ARTURO ELIAS,ESTANCIA SANTA ANA,86154,AGRICULTURA
GUIDOBONO JOSE MARIA,CAMPO AFUERA,50112,AGRICULTURA
GUIDOBONO JOSE MARIA,TUNAS,50126,AGRICULTURA
KITASAN S.A.,KITASAN,50042,AGRICULTURA
RIGO MARQUES GILMAR,PIRAYU,86154,AGRICULTURA
"RODRIGUEZ BASIGALUP , HECTOR M.",LIMONES DEL SOL 1 Y 2,50126,FRUTICULTURA
BIO AGRICULTORES S.A.,CAMPO CHACO,50049,FRUTICULTURA/HORTICULTURA
BIO AGRICULTORES S.A.,CAMPO PALOMO,50105,FRUTICULTURA/HORTICULTURA
CODUTTI DANIEL HUGO,CAMPO VALUSSI - CAMPO ROSSO,50105,APICULTURA
DIAZ RAFAEL JAVIER,EL CHILCAL,66154,AGRICULTURA
ECA S.A.,ZONA GRAL SAN MARTIN DE RECOLECCION SILVESTRE,50056,FRUTICULTURA
FABIO J PAVON,COLMENARES DON DALMACIO,50105,APICULTURA
GONZALEZ ROQUE O. Y COOPSOL LTDA.,APIARIO BF,50126,APICULTURA
HOLGADO LEONCIO Y COOPSOL LTDA.,APIARIO BG,86154,APICULTURA
LA VICTORIA SRL,LA MANDARINA,50105,AGRICULTURA
RIMONDINO ENRIQUE,MIEL DE MONTE,50105,APICULTURA
RODRIGUEZ ROSA A. Y COOPSOL LTDA.,APIARIO BI,50105,APICULTURA
RUIZ ELVIO Y COOPSOL LTDA.,APIARIO BH,50112,APICULTURA
14 DE ABRIL S.R.L.,LA LAURITA,66154,GANADERIA
ANTONELLA TORRACA Y OTROS S.H.,SAN JOSE,82098,GANADERIA
ANTONELLA TORRACA Y OTROS S.H.,EL FREDE,82098,GANADERIA
BARDAS BLANCAS S.A.,DON JOSE,82098,GANADERIA
COMINAGRO GANADERA S.A.,MALLIN NEVADO-LOS RURALES-RANCHO GDE.-LA BLANCA,82098,GANADERIA
COMPANIA DE TIERRAS TECKA S.A.,TECKA,82098,GANADERIA
