producto,provincia
 CHIA,Neuquén
 CHIA (SALVIA HISPANICA L.),Catamarca
 CHIA (SALVIA HISPANICA L.),Córdoba
 CHIA (SALVIA HISPANICA L.),Misiones
 CHIA (SALVIA HISPANICA L.),Santiago del Estero
 FRAMBUESA CONGELADA,Córdoba
 FRAMBUESA CONGELADA,La Rioja
 FRAMBUESA CONGELADA,Misiones
 FRAMBUESA CONGELADA,Tucumán
 GANADERIA BOVINA,Corrientes
 GANADERIA BOVINA,Entre Ríos
 GANADERIA BOVINA,Mendoza
 GANADERIA BOVINA,Salta
 LANA SUCIA,Córdoba
 LANA SUCIA,Misiones
 LANA SUCIA,Salta
 LANA SUCIA,Santa Fe
 LAVANDA,Buenos Aires
 LAVANDA,Chaco
 LAVANDA,Misiones
 LAVANDA,Salta
 MELISA,Buenos Aires
 MELISA,Misiones
 MELISA,Salta
 MELISA,San Luis
 MEMBRILLO,Entre Ríos
 MEMBRILLO,La Rioja
 MEMBRILLO,Misiones
 MEMBRILLO,Santiago del Estero
 NECTARINAS,Catamarca
 NECTARINAS,Córdoba
 NECTARINAS,Salta
 NECTARINAS,Santiago del Estero
 NECTARINAS ,Buenos Aires
 NECTARINAS ,Catamarca
 NECTARINAS ,Córdoba
 NECTARINAS ,Salta
 NUCLEOS,Chubut
 NUCLEOS,Córdoba
 NUCLEOS,Mendoza
 NUCLEOS,Santa Fe
 NUEZ,Catamarca
 NUEZ,Córdoba
 NUEZ,Misiones
 NUEZ,Río Negro
 OVEJAS,Córdoba
 OVEJAS,La Rioja
 OVEJAS,Misiones
 OVEJAS,Santa Fe
 PEREJIL,Jujuy
 PEREJIL,Mendoza
 PEREJIL,San Luis
 PEREJIL,Santa Fe
 REPOLLO,Catamarca
 REPOLLO,Mendoza
 REPOLLO,Misiones
 REPOLLO,San Luis
 ROSA MOSQUETA,Buenos Aires
 ROSA MOSQUETA,Misiones
 ROSA MOSQUETA,Río Negro
 ROSA MOSQUETA,Santa Fe
 STEVIA,Buenos Aires
 STEVIA,Misiones
 STEVIA,San Juan
 STEVIA,Santa Fe
 VACAS,Chubut
 VACAS,Mendoza
 VACAS,Misiones
 VACAS,Santa Fe
 VID,Chaco
 VID,Misiones
 VID,Río Negro
 VID,Santa Fe
 ZAPALLO ANCO,Chaco
 ZAPALLO ANCO,Misiones
 ZAPALLO ANCO,Río Negro
 ZAPALLO ANCO,Santa Fe
ACEITE DE JOJOBA,Buenos Aires
ACEITE DE JOJOBA,Chubut
ACEITE DE JOJOBA,Córdoba
ACEITE DE JOJOBA,Río Negro
ACEITE DE OLIVA,Córdoba
ACEITE DE OLIVA,Misiones
ACEITE DE OLIVA,Río Negro
ACEITE DE OLIVA,Salta
ACEITUNAS,Córdoba
ACEITUNAS,Mendoza
ACEITUNAS,Neuquén
ACEITUNAS,Río Negro
ALFALFA,Buenos Aires
ALFALFA,Chubut
ALFALFA,Córdoba
ALFALFA,Misiones
AVENA,Buenos Aires
AVENA,Entre Ríos
AVENA,San Luis
AVENA,Santa Fe
CEREZAS,Buenos Aires
CEREZAS,Catamarca
CEREZAS,Córdoba
CEREZAS,Santiago del Estero
CIRUELA,Córdoba
CIRUELA,La Rioja
CIRUELA,Río Negro
CIRUELA,Santa Fe
DESCANSO,Córdoba
DESCANSO,Entre Ríos
DESCANSO,Misiones
DESCANSO,Santa Fe
ESPARRAGOS,Buenos Aires
ESPARRAGOS,Misiones
ESPARRAGOS,Salta
ESPARRAGOS,Santa Fe
JUGO CONCENTRADO DE UVA,Córdoba
JUGO CONCENTRADO DE UVA,Misiones
JUGO CONCENTRADO DE UVA,Río Negro
JUGO CONCENTRADO DE UVA,San Luis
MANI,Buenos Aires
MANI,Córdoba
MANI,Misiones
MANI,Neuquén
MANI.,Buenos Aires
MANI.,Córdoba
MANI.,Misiones
MANI.,Neuquén
MANZANAS,Córdoba
MANZANAS,Mendoza
MANZANAS,Misiones
